,cname,ffp_hr,ffp_sl,fh_fog,fhp_score5,bti_cr,iiag_phr,fh_pr,bti_ds,bti_rol,iiag_srol,fhn_fotnsc,bti_pdi,bti_ij,sgi_so,bti_pp,vdem_gender,bti_cdi,rsf_pfi,ht_regtype,bti_mes,cspf_sfi,vdem_corr,wbgi_gee,gd_ptsa,bti_aar,hf_prights,bti_ffe,bti_sop,sgi_qdep,bti_wr,bti_eo,gpi_gpi,ess_happy,wvs_imprel,van_index,wbgi_pve,bti_su,bti_ps,bti_foe,ciri_polpris,bti_foe,vdem_mecorrpt,ess_trpolice,bti_ssn,iiag_ns
0,Afghanistan,8.5,9.100000381469727,2,60,2.0,,6,3.016666650772095,2.5,,,3.0,3.0,,3.5,0.4709999859333038,3.0,39.459999084472656,1.0,2.892857074737549,21.0,0.912999987602234,-1.2263633,5.0,4.0,12.600000381469732,3.0,3.0,,2.5,3.0,3.5190000534057617,,,11.29300022125244,-2.6710539,2.5,2.0,4.0,1,4.0,2.29200005531311,,2.0,
1,Albania,4.800000190734863,5.699999809265138,7,51,8.0,,3,7.050000190734862,5.25,,,6.0,5.0,,7.5,0.8149999976158142,8.0,29.92000007629395,100.0,6.607142925262451,2.0,0.7620000243186951,0.013270381999999999,2.0,9.0,35.0,7.0,4.0,,6.5,6.0,1.919999957084656,,,33.96428680419922,0.34464467,5.0,6.0,7.0,2,7.0,2.167999982833862,,7.0,
2,Algeria,6.5999999046325675,6.9000000953674325,3,65,5.0,41.599998,6,4.75,4.25,50.700001,,3.0,4.0,,4.5,0.7910000085830688,2.0,42.83000183105469,1.0,5.214285850524902,11.0,0.6899999976158142,-0.5311597,3.0,5.0,25.0,5.0,4.0,,5.5,5.0,2.187999963760376,,3.8818107000000004,12.31540012359619,-1.0975257,4.5,4.0,6.0,0,6.0,2.595000028610229,,6.0,78.400002
3,Andorra,,,12,15,,,1,,,,,,,,,,,21.03000068664551,,,,,1.8605870999999998,,,,,,,,,,,,12.977999687194819,1.4134194,,,,2,,,,,
4,Angola,7.300000190734862,8.600000381469728,1,73,4.0,37.700001,6,4.199999809265137,3.0,45.0,40.0,3.0,3.0,,3.0,0.746999979019165,2.0,40.41999816894531,1.0,3.678571462631226,17.0,0.8759999871253967,-1.035903,2.0,3.0,15.0,3.0,3.0,,3.0,4.0,2.006999969482422,,,6.227712154388428,-0.31589884,3.0,5.0,4.0,1,4.0,1.294000029563904,,2.0,87.0
5,Antigua and Barbuda,4.400000095367432,5.400000095367432,8,34,,,2,,,,,,,,,,,20.80999946594238,100.0,,,,0.26549062,,,,,,,,,,,,20.57920074462891,0.87860721,,,,2,,,,,
6,Azerbaijan,8.5,8.800000190734863,1,90,3.0,,7,3.433333396911621,3.0,,58.0,2.0,3.0,,2.25,0.5770000219345093,2.0,56.400001525878906,1.0,4.8214287757873535,10.0,0.959999978542328,-0.16561323,3.0,3.0,20.0,2.0,2.0,,5.5,6.0,2.457000017166138,,,9.979000091552734,-0.80387908,4.5,2.0,2.0,0,2.0,0.6940000057220459,,5.0,
7,Argentina,4.099999904632568,4.800000190734863,8,46,7.0,,2,8.0,7.0,,27.0,7.0,7.0,,9.0,0.878000020980835,8.0,25.06999969482422,100.0,6.535714149475098,2.0,0.46099999547004705,0.16212919,2.0,10.0,15.0,9.0,7.0,,6.5,7.0,2.0120000839233403,,2.6334383,38.51333999633789,0.20462550000000002,6.0,7.0,9.0,2,9.0,2.954999923706055,,6.0,
8,Australia,2.299999952316284,1.0,12,22,,,1,,,,21.0,,,6.511996746063232,,0.9629999995231628,,16.02000045776367,100.0,,2.0,0.0370000004768372,1.5685095,2.0,,90.0,,,8.399999618530272,,,1.38699996471405,,,39.68933868408203,1.047958,,,,2,,3.813999891281128,,,
9,Austria,1.2000000476837158,1.399999976158142,10,22,,,1,,,,,,,6.356985092163086,,0.9549999833106996,,13.47000026702881,100.0,,0.0,0.046000000089407,1.5119049999999998,1.0,,90.0,,,7.199999809265138,,,1.2920000553131101,7.615780830383301,,44.21900177001953,0.90963876,,,,2,,3.721999883651733,7.074533462524414,,
10,Bahamas,3.5999999046325684,3.7999999523162837,10,23,,,1,,,,,,,,,,,,100.0,,,,0.71953326,2.0,,70.0,,,,,,,,,27.94618034362793,0.97541875,,,,2,,,,,
11,Bahrain,8.800000190734863,8.199999809265138,3,87,3.0,,7,3.233333349227905,2.75,,71.0,2.0,2.0,,1.5,0.4120000004768372,2.0,58.88000106811523,23.0,6.0,9.0,0.718999981880188,0.32784277,3.0,1.0,60.0,2.0,2.0,,4.5,2.0,2.410000085830688,,3.2462437,1.049999952316284,-0.79342568,5.5,2.0,2.0,1,2.0,0.4939999878406525,,7.0,
12,Bangladesh,7.4000000953674325,7.800000190734862,5,62,4.0,,4,4.616666793823242,3.75,,54.0,3.0,4.0,,4.25,0.7210000157356262,3.0,48.36000061035156,1.0,5.607142925262451,12.0,0.843999981880188,-0.67865896,4.0,5.0,20.0,5.0,4.0,,4.0,4.0,2.03600001335144,,,6.064799785614014,-1.2619368,4.5,6.0,4.0,0,4.0,2.838000059127808,,4.0,
13,Armenia,7.0,7.5999999046325675,4,63,5.0,,5,5.116666793823242,4.5,,32.0,3.0,4.0,,4.25,0.8169999718666077,3.0,30.3799991607666,1.0,6.035714149475098,6.0,0.8550000190734863,-0.1581753,3.0,5.0,20.0,4.0,4.0,,6.0,6.0,2.257999897003174,,,20.55924034118652,-0.66226381,5.0,5.0,5.0,1,5.0,1.77400004863739,,6.0,
14,Barbados,2.9000000953674316,2.5,12,19,,,1,,,,,,,,,0.9049999713897704,,,100.0,,,0.1070000007748604,1.0821716000000001,,,80.0,,,,,,,,,25.84021949768066,0.97660989,,,,2,,3.6749999523162837,,,
15,Belgium,1.5,1.399999976158142,12,12,,,1,,,,,,,6.250112056732178,,0.9419999718666076,,12.75,100.0,,2.0,0.0230000000447035,1.3262135,1.0,,80.0,,,7.4000000953674325,,,1.5360000133514398,7.7274980545043945,,47.71900177001953,0.44136729999999996,,,,2,,3.880000114440918,6.361654281616211,,
16,Bhutan,6.5999999046325675,4.300000190734863,9,58,7.0,,3,6.566666603088379,7.25,,,7.0,7.0,,7.0,0.8399999737739563,7.0,30.729999542236328,1.0,5.9285712242126465,7.0,0.0930000022053719,0.5005098,,6.0,60.0,8.0,7.0,,4.5,5.0,1.603999972343445,,,2.631750106811523,1.1232966999999998,7.0,5.0,7.0,0,7.0,3.566999912261963,,4.0,
