"cname","ffp_hr","ffp_sl","fh_fog","fhp_score5","bti_cr","iiag_phr","fh_pr","bti_ds","bti_rol","iiag_srol","fhn_fotnsc","bti_pdi","bti_ij","sgi_so","bti_pp","vdem_gender","bti_cdi","rsf_pfi","ht_regtype","bti_mes","cspf_sfi","vdem_corr","wbgi_gee","gd_ptsa","bti_aar","hf_prights","bti_ffe","bti_sop","sgi_qdep","bti_wr","bti_eo","gpi_gpi","ess_happy","wvs_imprel","van_index","wbgi_pve","bti_su","bti_ps","bti_foe","ciri_polpris","vdem_mecorrpt","ess_trpolice","bti_ssn","iiag_ns","ccode","country","leader","year","month","elected","age","male","militarycareer","tenure_months","government","anticipation","ref_ant","leg_ant","exec_ant","irreg_lead_ant","election_now","election_recent","leg_recent","exec_recent","lead_recent","ref_recent","direct_recent","indirect_recent","victory_recent","defeat_recent","change_recent","nochange_recent","delayed","lastelection","loss","irregular","prev_conflict","pt_suc","pt_attempt","precip","couprisk","pctile_risk"
"Afghanistan",8.5,9.1,2,60,2,NULL,6,3.017,2.5,NULL,NULL,3,3,NULL,3.5,0.471,3,39.46,1,2.893,21,0.913,-1.226,5,4,12.6,3,3,NULL,2.5,3,3.519,NULL,NULL,11.293,-2.671,2.5,2,4,1,2.292,NULL,2,NULL,700,"Afghanistan","Ashraf Ghani",2020,9,1,71,1,0,73,"Presidential Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493,4.3307332999999995,5.257495400000001,2,0,0,2.90972484647637,0.0005138016400000001,0.38993213
"Albania",4.8,5.7,7,51,8,NULL,3,7.05,5.25,NULL,NULL,6,5,NULL,7.5,0.815,8,29.92,100,6.607,2,0.762,0.013,2,9,35,7,4,NULL,6.5,6,1.92,NULL,NULL,33.964,0.345,5,6,7,2,2.168,NULL,7,NULL,339,"Albania","Rama",2020,9,1,56,1,0,85,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6888794999999996,4.477337,5.572154,0,0,0,-0.370967505936408,0.00017819513,0.08921036
"Algeria",6.6,6.9,3,65,5,41.6,6,4.75,4.25,50.7,NULL,3,4,NULL,4.5,0.791,2,42.83,1,5.214,11,0.69,-0.531,3,5,25,5,4,NULL,5.5,5,2.188,NULL,3.882,12.315,-1.098,4.5,4,6,0,2.595,NULL,6,78.4,615,"Algeria","Tebboune",2020,9,1,75,1,0,10,"Provisional - Civilian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3025851000000004,2.3025851000000004,2.3025851000000004,1,0,0,-0.228470496455165,0.0012953563,0.66902125
"Andorra",NULL,NULL,12,15,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.03,NULL,NULL,NULL,NULL,1.861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.978,1.413,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,232,"Andorra","Espot Zamora",2020,9,1,41,1,0,17,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717999999996,4.7361984,5.8021183,0,0,0,0.3428222858368611,0.000030059788,0.012577131
"Angola",7.3,8.6,1,73,4,37.7,6,4.2,3,45,40,3,3,NULL,3,0.747,2,40.42,1,3.679,17,0.876,-1.036,2,3,15,3,3,NULL,3,4,2.007,NULL,NULL,6.228,-0.316,3,5,4,1,1.294,NULL,2,87,540,"Angola","Lourenco",2020,9,1,66,1,0,37,"Dominant Party",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637586,6.291569,4.9767337,1,0,0,0.661224090759465,0.00081216916,0.53665847
"Antigua and Barbuda",4.4,5.4,8,34,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.81,100,NULL,NULL,NULL,0.265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.579,0.879,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,58,"Antigua and Barbuda","Browne",2020,9,1,53,1,0,76,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4339871,4.3307332999999995,6.1484685,0,0,0,-0.780774277444193,0.00018193528000000003,0.09261902400000001
"Argentina",4.1,4.8,8,46,7,NULL,2,8,7,NULL,27,7,7,NULL,9,0.878,8,25.07,100,6.536,2,0.461,0.162,2,10,15,9,7,NULL,6.5,7,2.012,NULL,2.633,38.513,0.205,6,7,9,2,2.955,NULL,6,NULL,160,"Argentina","Fernandez",2020,9,1,61,1,0,10,"Presidential Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4849067000000002,2.4849067000000002,6.0958247000000005,0,0,0,0.456608821515656,0.0003520356299999999,0.27137855
"Armenia",7,7.6,4,63,5,NULL,5,5.117,4.5,NULL,32,3,4,NULL,4.25,0.817,3,30.38,1,6.036,6,0.855,-0.158,3,5,20,4,4,NULL,6,6,2.258,NULL,NULL,20.559,-0.662,5,5,5,1,1.774,NULL,6,NULL,371,"Armenia","Pashinyan",2020,9,1,45,1,0,29,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0910425,3.0910425,3.0910425,0,0,0,-0.725302907797125,0.00022763533,0.13738334
"Australia",2.3,1,12,22,NULL,NULL,1,NULL,NULL,NULL,21,NULL,NULL,6.512,NULL,0.963,NULL,16.02,100,NULL,2,0.037,1.569,2,NULL,90,NULL,NULL,8.4,NULL,NULL,1.387,NULL,NULL,39.689,1.048,NULL,NULL,NULL,2,3.814,NULL,NULL,NULL,900,"Australia","Morrison",2020,9,1,52,1,0,26,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8332132999999997,4.4426513,5.525453,1,0,0,-0.5885474731879711,0.00041116087,0.32010597
"Austria",1.2,1.4,10,22,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,6.357,NULL,0.955,NULL,13.47,100,NULL,0,0.046,1.512,1,NULL,90,NULL,NULL,7.2,NULL,NULL,1.292,7.616,NULL,44.219,0.91,NULL,NULL,NULL,2,3.722,7.075,NULL,NULL,305,"Austria","Kurz",2020,9,1,34,1,0,9,"Parliamentary Democracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493,2.5649493,6.6592937,0,0,0,1.17635787033141,0.00014996545,0.06562696
